srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,Q11,Q12,Q14,Q15,p_state,p_gender_sdc,p_age_group_sdc,p_education_sdc
649,'4','35','Centre-left','4','2','4','2','2','1','1','2','1','7.0','8.0','2.0','2.0','8.0','3.0','2.0','9.0','2','4','2','2','1.0','2.0','3.0','1.0','2','1.0','3.0','1.0'
1759,'2','16','No-party','3','2','2','2','2','2','2','3','1','5.0','4.0','3.0','1.0','7.0','3.0','2.0','6.0','2','2','2','2','1.0','3.0','1.0','3.0','3','1.0','2.0','1.0'
354,'2','18','Centre-right','2','2','3','2','2','1','2','2','2','4.0','4.0','4.0','4.0','4.0','4.0','3.0','4.0','2','4','4','4','3.0','2.0','2.0','3.0','3','2.0','4.0','3.0'
2010,'2','1','Centre-right','2','2','4','4','2','2','2','3','3','8.0','7.0','5.0','6.0','8.0','6.0','3.0','8.0','2','2','2','4','2.0','2.0','3.0','3.0','3','1.0','3.0','1.0'
2544,'2','11','Centre-right','4','2','3','2','3','2','3','3','1','6.0','6.0','8.0','1.0','8.0','2.0','1.0','8.0','2','4','4','4','2.0','3.0','3.0','3.0','5','2.0','3.0','1.0'
245,'4','36','Centre-left','4','2','3','3','3','2','2','2','2','7.0','8.0','6.0','6.0','7.0','6.0','7.0','8.0','2','4','4','2','3.0','1.0','4.0','3.0','2','1.0','4.0','2.0'
185,'2','35','Green','3','3','4','4','3','2','2','3','2','7.0','5.0','5.0','2.0','7.0','5.0','4.0','8.0','2','4','1','2','2.0','3.0','3.0','3.0','4','1.0','3.0','1.0'
1345,'4','16','Centre-right','4','3','3','2','2','2','2','2','1','6.0','5.0','3.0','3.0','6.0','5.0','3.0','8.0','4','4','4','4','2.0','1.0','4.0','3.0','5','1.0','4.0','1.0'
374,'2','31','Centre-right','3','3','4','4','2','1','2','1','1','9.0','8.0','6.0','4.0','6.0','7.0','1.0','9.0','1','2','1','2','2.0','3.0','3.0','2.0','5','1.0','3.0','2.0'
2310,'4','16','Right-wing','4','4','4','3','3','3','3','3','3','5.0','5.0','2.0','2.0','2.0','2.0','2.0','5.0','4','4','4','4','1.0','1.0','2.0','3.0','5','1.0','4.0','3.0'
186,'4','1','Centre-right','4','4','3','4','1','1','2','2','1','3.0','3.0','3.0','1.0','3.0','2.0','2.0','5.0','2','4','4','2','2.0','3.0','3.0','3.0','2','2.0','4.0','3.0'
1773,'4','6','Centre-left','4','4','4','4','2','2','2','2','2','8.0','8.0','7.0','6.0','7.0','5.0','4.0','8.0','2','2','2','2','2.0','2.0','3.0','1.0','3','1.0','3.0','1.0'
1753,'2','11','Centre-left','3','3','3','3','2','1','2','3','3','8.0','8.0','7.0','5.0','9.0','5.0','6.0','9.0','4','4','4','2','2.0','3.0','3.0','3.0','2','1.0','3.0','1.0'
1287,'4','19','Other','3','2','2','2','2','3','1','2','2','3.0','2.0','4.0','1.0','1.0','4.0','2.0','5.0','4','4','2','2','2.0','4.0','2.0','3.0','2','1.0','1.0','3.0'
845,'4','16','Green','1','1','2','1','2','1','2','2','1','3.0','2.0','2.0','1.0','4.0','2.0','1.0','8.0','2','2','4','2','1.0','3.0','2.0','3.0','1','1.0','4.0','1.0'
1746,'2','2','-98','2','2','4','4','3','2','3','3','1','8.0','3.0','8.0','1.0','7.0','6.0','2.0','9.0','2','1','-98','2','2.0','3.0','3.0','2.0','1','1.0','3.0','1.0'
703,'2','18','Centre-right','4','3','4','4','3','2','4','3','3','8.0','8.0','7.0','5.0','8.0','7.0','7.0','8.0','2','4','4','2','2.0','3.0','2.0','3.0','2','1.0','4.0','3.0'
2214,'2','-98','Green','3','3','3','3','2','3','4','3','3','8.0','7.0','5.0','2.0','4.0','2.0','2.0','8.0','5','5','4','5','2.0','2.0','2.0','3.0','1','2.0','2.0','1.0'
1091,'2','20','Green','3','3','3','3','1','3','1','3','1','7.0','5.0','3.0','3.0','5.0','3.0','6.0','5.0','4','4','4','4','2.0','3.0','2.0','3.0','3','2.0','4.0','2.0'
